family,split_tag,model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds,ood_name,base_model,meta_model,hybrid_feature_mode,meta_C,stack_train_source,backbone_name,max_length,learning_rate,num_epochs,train_batch_size,eval_batch_size,weight_decay,warmup_ratio,training_seed,device
ablation,A,M1_TFIDF_ONLY,OOD,0.6061214249874561,0.5452824035751821,0.6895125924429422,0.7409495703602851,0.0250878073256397,0.1389864525840441,0.2754641244355243,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.315; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.315,macro_f1,,,False,False,0.861072261072261,0.861072261072261,,,,,,,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M1_TFIDF_ONLY,OOD,0.6889111891620673,0.6860275314770321,0.6895125924429422,0.7409495703602851,0.0250878073256397,0.1389864525840441,0.2754641244355243,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.965; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.965,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.861072261072261,0.650089791407653,0.05,0.5504587155963303,1.0,0.0,0.0,36.0,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M2_TFIDF_PLUS_FLAGS,OOD,0.5627195183140994,0.4686701845468449,0.6127062080301894,0.669838665132278,0.0130456598093326,0.0792774711490215,0.171098845960863,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.249; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.249,macro_f1,,,False,False,0.8639269406392693,0.8639269406392693,,,,,,,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M2_TFIDF_PLUS_FLAGS,OOD,0.6332162568991471,0.6305280373630314,0.6127062080301894,0.669838665132278,0.0130456598093326,0.0792774711490215,0.171098845960863,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.964; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.964,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8639269406392693,0.7053672316384181,0.05,0.6330275229357798,1.0,0.0,0.0,37.0,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.5707476166583041,0.4831464046140619,0.6240075081403147,0.6814649063996944,0.0135474159558454,0.0923231309583542,0.1776216758655293,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.304; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.304,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V1_TOTAL,OOD,0.6364776718514802,0.6349837842237818,0.6240075081403147,0.6814649063996944,0.0135474159558454,0.0923231309583542,0.1776216758655293,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.963; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.963,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7550290135396518,0.05,0.7064220183486238,1.0,0.0,0.0,38.0,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.5657300551931761,0.4728684195990501,0.6197716124377595,0.677162592908597,0.0200702458605117,0.0868038133467135,0.1640742599096838,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.879816342991872,0.879816342991872,,,,,,,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TOTAL,OOD,0.6417461113898645,0.6331546285869848,0.6197716124377595,0.677162592908597,0.0200702458605117,0.0868038133467135,0.1640742599096838,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.938; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.938,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.879816342991872,0.7932196669310071,0.05,0.7614678899082569,1.0,0.0,0.0,63.0,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.5614651279478173,0.4667352834836852,0.6159087558292589,0.6702312836523417,0.0185649774209734,0.0812844957350727,0.1781234320120421,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.227; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.227,macro_f1,,,False,False,0.8692982456140351,0.8692982456140351,,,,,,,ood_test_injection_standard,,,,,,,,,,,,,,,
ablation,A,M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.6322127446061214,0.6238596337645217,0.6159087558292589,0.6702312836523417,0.0185649774209734,0.0812844957350727,0.1781234320120421,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.940; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.94,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8692982456140351,0.7867752282260054,0.05,0.7522935779816514,1.0,0.0,0.0,61.0,ood_test_injection_standard,,,,,,,,,,,,,,,
