model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,VAL,0.9060402684563759,0.8855857832382624,0.9420550504109431,0.916892502258356,0.018518518518518517,0.5185185185185185,0.8240740740740741,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.704; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.704,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,TEST,0.8322147651006712,0.7970801329193223,0.9686253700290883,0.9174311926605505,0.4954128440366973,0.7339449541284404,0.7798165137614679,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.704; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.704,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.6888020833333334,0.6882942212365185,0.7584248558922455,0.7356770833333334,0.109375,0.3177083333333333,0.4270833333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.704; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.704,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,VAL,0.6375838926174496,0.6328039430449068,0.9420550504109431,0.916892502258356,0.018518518518518517,0.5185185185185185,0.8240740740740741,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,1.0,-0.0012195121951219523,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,TEST,0.6241610738255033,0.621278140885984,0.9686253700290883,0.9174311926605505,0.4954128440366973,0.7339449541284404,0.7798165137614679,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,1.0,-0.0012195121951219523,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_STRUCTURED,OOD,0.60546875,0.5444884440642599,0.7584248558922455,0.7356770833333334,0.109375,0.3177083333333333,0.4270833333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6328039430449068,0.04878048780487805,0.5185185185185185,1.0,-0.0012195121951219523,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,VAL,0.9060402684563759,0.8855857832382624,0.9450819835978878,0.9157633242999097,0.037037037037037035,0.5277777777777778,0.7962962962962963,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.732; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.732,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,TEST,0.8322147651006712,0.7970801329193223,0.968458468828409,0.914908256880734,0.5504587155963303,0.7155963302752294,0.7522935779816514,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.732; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.732,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,OOD,0.6966145833333334,0.6958302099428355,0.7589791878968709,0.7378472222222222,0.11458333333333333,0.3046875,0.4296875,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.732; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.732,macro_f1,,,False,False,0.8855857832382624,0.8855857832382624,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,VAL,0.6442953020134228,0.6390272889335833,0.9450819835978878,0.9157633242999097,0.037037037037037035,0.5277777777777778,0.7962962962962963,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6390272889335833,0.04878048780487805,0.5277777777777778,1.0,-0.0012195121951219523,0.0,17.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,TEST,0.5973154362416108,0.5958408679927667,0.968458468828409,0.914908256880734,0.5504587155963303,0.7155963302752294,0.7522935779816514,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6390272889335833,0.04878048780487805,0.5277777777777778,1.0,-0.0012195121951219523,0.0,17.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,OOD,0.60546875,0.5454849086786084,0.7589791878968709,0.7378472222222222,0.11458333333333333,0.3046875,0.4296875,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.984; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.984,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8855857832382624,0.6390272889335833,0.04878048780487805,0.5277777777777778,1.0,-0.0012195121951219523,0.0,17.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,VAL,0.9060402684563759,0.8839563862928349,0.9411044188146689,0.9157633242999096,0.018518518518518517,0.5185185185185185,0.8333333333333334,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.671; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.671,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,TEST,0.8389261744966443,0.8038613426941641,0.96814730173735,0.9160550458715596,0.5045871559633027,0.6788990825688074,0.7889908256880734,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.671; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.671,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,OOD,0.69140625,0.691217260455703,0.7502106173551261,0.7290479871961806,0.109375,0.3098958333333333,0.4010416666666667,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.671; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.671,macro_f1,,,False,False,0.8839563862928349,0.8839563862928349,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,VAL,0.6308724832214765,0.6265664160401002,0.9411044188146689,0.9157633242999096,0.018518518518518517,0.5185185185185185,0.8333333333333334,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.04878048780487805,0.5092592592592593,1.0,-0.0012195121951219523,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,TEST,0.6241610738255033,0.621278140885984,0.96814730173735,0.9160550458715596,0.5045871559633027,0.6788990825688074,0.7889908256880734,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.04878048780487805,0.5092592592592593,1.0,-0.0012195121951219523,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,OOD,0.59765625,0.532348681163847,0.7502106173551261,0.7290479871961806,0.109375,0.3098958333333333,0.4010416666666667,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.049; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8839563862928349,0.6265664160401002,0.04878048780487805,0.5092592592592593,1.0,-0.0012195121951219523,0.0,19.0
