model,split,acc,macro_f1,auc_pr,roc_auc,tpr_at_1pct_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr,semantic_coverage,defer_rate,threshold_note,eval_track,threshold_policy,val_threshold_t_star,threshold_selection_mode,threshold_target_fpr,threshold_macro_f1_tolerance,threshold_enforce_target_fpr,threshold_fallback_to_macro_f1,threshold_val_macro_f1_best,threshold_val_macro_f1_at_t_star,threshold_val_fpr_at_t_star,threshold_val_tpr_at_t_star,threshold_val_fpr_constraint_satisfied,threshold_val_fpr_gap_to_target,threshold_val_fpr_min_possible,threshold_val_num_feasible_thresholds
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,TEST,0.8859060402684564,0.8457838660578386,0.9746430303476039,0.9451219512195121,0.25925925925925924,0.8055555555555556,0.8796296296296297,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.229; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.229,macro_f1,,,False,False,0.8718043264503441,0.8718043264503441,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,OOD,0.6315104166666666,0.6174968981811462,0.7472778428720295,0.7324184841579862,0.0859375,0.25,0.3880208333333333,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.229; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.229,macro_f1,,,False,False,0.8718043264503441,0.8718043264503441,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,VAL,0.5838926174496645,0.5816123188405797,0.9519027881464895,0.9153669724770643,0.07339449541284404,0.46788990825688076,0.7706422018348624,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8718043264503441,0.5816123188405797,0.05,0.44954128440366975,1.0,0.0,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,TEST,0.5704697986577181,0.56998556998557,0.9746430303476039,0.9451219512195121,0.25925925925925924,0.8055555555555556,0.8796296296296297,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8718043264503441,0.5816123188405797,0.05,0.44954128440366975,1.0,0.0,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TRIPWIRE,OOD,0.57421875,0.4932432023407153,0.7472778428720295,0.7324184841579862,0.0859375,0.25,0.3880208333333333,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.050; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8718043264503441,0.5816123188405797,0.05,0.44954128440366975,1.0,0.0,0.0,19.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,VAL,0.8993288590604027,0.8613265496060061,0.9500471920957183,0.9146788990825689,0.05504587155963303,0.48623853211009177,0.7706422018348624,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.203; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.203,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,TEST,0.8791946308724832,0.8351769911504425,0.9740422642121702,0.9446702800361337,0.24074074074074073,0.8055555555555556,0.8611111111111112,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.203; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.203,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,OOD,0.6263020833333334,0.6100039810678108,0.7444859476637681,0.7337985568576388,0.0859375,0.23697916666666666,0.390625,,,eval_track=ranking; policy=macro_f1; mode=macro_f1; t*=0.203; target_fpr=0.05; val_fpr=nan; macro_tol=0.020,ranking,macro_f1,0.203,macro_f1,,,False,False,0.8613265496060061,0.8613265496060061,,,,,,
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,VAL,0.610738255033557,0.6077523602033406,0.9500471920957183,0.9146788990825689,0.05504587155963303,0.48623853211009177,0.7706422018348624,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.025; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8613265496060061,0.6077523602033406,0.025,0.47706422018348627,1.0,-0.025,0.0,22.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,TEST,0.5704697986577181,0.56998556998557,0.9740422642121702,0.9446702800361337,0.24074074074074073,0.8055555555555556,0.8611111111111112,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.025; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8613265496060061,0.6077523602033406,0.025,0.47706422018348627,1.0,-0.025,0.0,22.0
M3_TFIDF_PLUS_FLAGS_PLUS_IBVS_V2_TAILCAL,OOD,0.5703125,0.49047864127637675,0.7444859476637681,0.7337985568576388,0.0859375,0.23697916666666666,0.390625,,,eval_track=deployment_threshold; policy=low_fpr_enforced; mode=low_fpr_enforced_macro_best; t*=0.982; target_fpr=0.05; val_fpr=0.025; macro_tol=0.020,deployment_threshold,low_fpr_enforced,0.982,low_fpr_enforced_macro_best,0.05,0.02,True,True,0.8613265496060061,0.6077523602033406,0.025,0.47706422018348627,1.0,-0.025,0.0,22.0
